Flight_ID,Airline,Aircraft_Type,Aircraft_Age_Years,Flight_Phase,Departure,Arrival,Route_,Flight_Duration,Last_Maintenance_Hrs,Engine_Hours,Pilot_Experience_Hrs,CoPilot_Experience_Hrs,Number_of_Crew,Total_Onboard,Cargo_Weight_Kg,Date,Time_UTC,Season,Visibility_Km,Visibility,Wind_Speed_Kmph,Wind_Direction_Deg,Temperature_C,Precipitation_mm,Weather_Condition,Turbulence,Accident
F20207813099,SpiceJet,Boeing 787,17,Parked,IXB,HYD,IXB-HYD,0.57,1017,19871,14527,3638,11,25,4822,01/02/2025,19:20,Winter,3.48,1.06,60,88,30.4,45.7,Cloudy,Moderate,0
F20259680807,Akasa Air,Airbus A321,17,Takeoff,BBI,PNQ,BBI-PNQ,3.2,905,17268,9359,7511,2,222,7931,09/12/2022,23:07,Monsoon,5.86,3.47,34,49,42.1,14.8,Rain,Light,1
F20216210541,Akasa Air,ATR 72,27,Takeoff,BBI,BLR,BBI-BLR,0.66,166,7700,11621,2448,6,203,797,07/10/2025,10:44,Monsoon,5.29,7.08,6,355,31.2,23.51,Rain,Moderate,0
F20262247262,FlyBig,Airbus A321,27,Taxi,GAU,DEL,GAU-DEL,4.71,1230,3464,2442,200,6,224,3445,01/04/2023,00:52,Monsoon,9.01,3.68,68,286,31.3,42.18,Clear,None,1
F20244021522,Alliance Air,Boeing 737,26,Landing,DEL,AMD,DEL-AMD,2.84,1112,19419,2826,14450,4,201,9081,03/31/2026,15:54,Summer,7.81,5.59,10,283,12.4,3.37,Dust_Storm,Severe,0
F20219579899,FlyBig,ATR 72,9,Parked,CCU,GOI,CCU-GOI,4.66,1040,9504,4959,3824,3,281,8967,06/02/2020,13:47,Summer,9.87,5.27,65,336,42.2,28.06,Cloudy,Severe,1
F20253268935,IndiGo,Airbus A321,13,Parked,IXB,HYD,IXB-HYD,3.93,630,16514,22055,6626,13,84,4501,04/02/2023,18:45,Winter,7.62,7.48,59,129,23.5,26.11,Dust_Storm,None,0
F20224076788,IndiGo,Boeing 787,11,Landing,BBI,HYD,BBI-HYD,0.81,1010,15823,23781,7932,7,175,4374,01/30/2021,05:13,Monsoon,4.51,6.9,42,133,38.9,31.44,Clear,Light,0
F20267723097,Alliance Air,ATR 72,21,En_Route,HYD,ATQ,HYD-ATQ,1.94,1602,1953,22942,5241,9,47,3147,04/22/2020,10:01,Monsoon,5.23,2.56,13,359,45.5,45.22,Rain,None,0
F20237794986,SpiceJet,ATR 72,28,En_Route,BLR,HYD,BLR-HYD,3.87,508,19351,14364,8915,5,349,5845,02/10/2021,16:45,Summer,3.68,6.77,31,258,7.6,1.2,Dust_Storm,Moderate,1
F20231169532,Akasa Air,Embraer E190,28,Takeoff,MAA,GOI,MAA-GOI,0.71,1312,4046,815,9921,6,62,3076,12/27/2021,05:50,Winter,0.51,0.17,29,248,42.2,22.94,Rain,Moderate,0
F20247225168,Star Air,Embraer E190,15,Landing,AMD,GAU,AMD-GAU,4.14,848,1845,895,6911,11,10,2635,12/08/2024,00:40,Winter,1.8,8.35,38,170,41.9,1.35,Rain,Moderate,0
F20253256830,SpiceJet,Dornier Do 228,22,Parked,PNQ,GAU,PNQ-GAU,4.69,428,19606,4667,402,6,261,8560,11/30/2023,13:17,Monsoon,2.79,6.16,41,326,10.8,46.23,Cloudy,None,1
F20246939410,Alliance Air,Airbus A320,18,Parked,DEL,IXB,DEL-IXB,4.93,1443,12703,8163,3688,10,99,3932,08/06/2021,08:52,Monsoon,5.52,9.24,29,139,43.4,43.46,Dust_Storm,Moderate,0
F20249978971,Akasa Air,Airbus A320,1,Takeoff,AMD,MAA,AMD-MAA,3.71,886,17230,13533,1101,13,349,6888,07/16/2021,04:44,Summer,1.13,1.61,29,204,10.9,28.88,Rain,Moderate,1
F20211693356,FlyBig,Embraer E190,15,Parked,BBI,AMD,BBI-AMD,4.83,1170,10391,20901,12890,8,171,5845,11/13/2022,11:26,Winter,5.38,7.62,8,52,15.4,15.77,Dust_Storm,Moderate,0
F20205813923,Air India,Airbus A321,21,En_Route,BOM,PNQ,BOM-PNQ,4.01,1586,16361,18202,7957,9,327,4430,08/25/2024,19:29,Winter,3.86,3.55,43,141,35.1,1.08,Dust_Storm,Moderate,1
F20203291510,Star Air,Dornier Do 228,13,En_Route,AMD,IXB,AMD-IXB,2.02,1749,18270,10779,7575,10,46,5174,09/23/2025,14:38,Monsoon,7.67,7.01,34,91,33.3,39.73,Clear,None,0
F20251754918,IndiGo,ATR 72,28,Taxi,BLR,PNQ,BLR-PNQ,3.12,1904,17115,21827,3147,7,344,7252,09/25/2025,18:35,Monsoon,4.77,0.3,26,149,44.0,26.22,Clear,Moderate,1
F20226299723,Star Air,ATR 72,20,Taxi,BOM,CCU,BOM-CCU,3.31,1835,4459,1832,14034,6,299,2958,07/26/2024,00:54,Winter,0.3,4.29,7,136,27.6,16.29,Cloudy,None,1
F20208872442,FlyBig,Airbus A320,20,Takeoff,GAU,AMD,GAU-AMD,1.78,536,19116,6339,1816,13,315,5512,02/24/2025,00:29,Summer,0.36,4.88,76,303,33.2,0.34,Dust_Storm,Moderate,1
F20205668612,Star Air,Boeing 787,17,Takeoff,GAU,BBI,GAU-BBI,3.95,1107,5929,1690,4968,10,11,855,03/14/2023,02:49,Winter,7.99,6.19,21,282,41.8,1.06,Dust_Storm,Light,0
F20268697137,Star Air,Airbus A320,18,En_Route,BOM,AMD,BOM-AMD,4.36,1021,16640,2050,8670,13,296,2079,01/06/2021,01:56,Winter,9.8,4.6,40,96,22.8,18.9,Clear,Severe,1
F20228700257,Alliance Air,Embraer E190,18,Taxi,CCU,DEL,CCU-CCU,1.24,902,2065,9415,3285,8,292,4970,01/14/2023,19:22,Winter,3.35,3.47,78,198,15.9,45.22,Clear,None,1
F20245604180,Alliance Air,Airbus A320,7,En_Route,BLR,BOM,BLR-BOM,1.02,1173,6024,15676,6157,13,159,9106,01/11/2021,23:09,Monsoon,7.13,6.19,31,287,47.6,12.76,Dust_Storm,Light,0
F20256530441,Air India,ATR 72,28,Parked,HYD,PNQ,HYD-PNQ,2.63,1971,19405,2672,9077,2,239,1407,10/18/2024,21:25,Monsoon,8.5,6.31,42,39,33.0,4.9,Cloudy,Moderate,1
F20207852578,IndiGo,Boeing 737,23,Takeoff,IXB,CCU,IXB-CCU,0.78,345,14959,8912,451,12,189,2593,08/15/2020,17:45,Summer,2.04,6.58,56,272,33.4,25.02,Thunderstorm,Light,0
F20217557489,SpiceJet,Airbus A321,26,Takeoff,AMD,PNQ,AMD-PNQ,2.29,595,17965,15598,9887,10,259,6758,07/04/2023,08:47,Summer,8.62,3.42,48,322,10.4,44.49,Cloudy,Light,1
F20244795406,Vistara,Airbus A320,4,En_Route,BOM,DEL,BOM-DEL,1.04,1846,18861,19047,6798,10,180,6961,05/31/2023,19:06,Summer,6.51,1.51,76,42,8.8,8.29,Clear,None,0
F20235668683,Akasa Air,Dornier Do 228,7,Landing,HYD,BOM,HYD-BOM,1.89,1047,3686,15006,4741,3,106,752,03/03/2021,08:38,Winter,0.5,5.72,42,72,46.3,1.67,Cloudy,Light,0
F20222386886,Akasa Air,Boeing 787,3,Takeoff,DEL,BOM,DEL-BOM,2.23,839,17866,12536,8809,3,211,7435,08/08/2022,08:17,Monsoon,9.13,9.56,20,353,38.0,3.59,Cloudy,Severe,0
F20216282144,SpiceJet,ATR 72,10,En_Route,GAU,BLR,GAU-BLR,3.65,498,6951,4985,609,4,182,6198,11/26/2021,06:11,Winter,9.96,4.28,48,345,19.4,39.92,Clear,None,0
F20209120074,IndiGo,Dornier Do 228,13,Takeoff,AMD,DEL,AMD-AMD,3.77,658,2900,21952,11162,10,308,4066,03/22/2020,00:11,Monsoon,7.08,9.21,33,272,29.5,34.67,Cloudy,Light,1
F20229321755,Vistara,Airbus A320,10,Takeoff,GOI,BLR,GOI-BLR,3.03,306,13200,7661,12051,6,223,261,04/01/2021,14:22,Monsoon,6.82,9.07,16,117,36.3,25.05,Rain,Severe,1
F20246050256,Star Air,Boeing 787,15,Taxi,MAA,GOI,MAA-GOI,4.61,993,8265,11382,13931,5,167,8166,05/22/2022,01:32,Winter,7.32,2.12,35,336,43.0,36.09,Cloudy,None,0
F20225051574,Air India,Boeing 737,21,Taxi,ATQ,IXB,ATQ-IXB,1.75,387,14901,12454,13478,10,211,4673,09/17/2020,04:06,Winter,9.47,6.78,56,20,43.7,17.37,Thunderstorm,Moderate,0
F20233212606,FlyBig,Airbus A321,23,Landing,BLR,AMD,BLR-AMD,1.05,1386,16991,13822,429,6,243,3958,01/14/2024,09:28,Monsoon,8.45,1.6,49,62,20.4,29.82,Dust_Storm,None,1
F20246407185,IndiGo,Airbus A320,23,Taxi,BLR,ATQ,BLR-ATQ,2.22,1757,1574,18972,588,3,332,6850,02/10/2020,10:54,Winter,1.61,5.73,31,80,24.3,33.9,Thunderstorm,Light,1
F20262339791,IndiGo,Boeing 787,26,Taxi,HYD,BBI,HYD-BBI,1.11,1974,1176,10369,1920,13,65,8870,07/31/2025,18:59,Winter,6.0,4.58,6,94,28.5,14.3,Clear,Severe,0
F20213591015,SpiceJet,ATR 72,28,En_Route,ATQ,IXB,ATQ-IXB,4.58,1512,16603,11148,14637,3,142,8387,09/28/2024,09:51,Winter,1.46,3.7,70,342,8.7,20.6,Cloudy,Severe,0
F20244531440,SpiceJet,Embraer E190,19,Takeoff,GOI,PNQ,GOI-PNQ,2.75,481,13524,22399,12796,10,292,7723,01/10/2024,23:18,Monsoon,5.68,4.77,33,75,41.8,13.42,Thunderstorm,Moderate,1
F20215043966,Alliance Air,Embraer E190,17,Takeoff,ATQ,AMD,ATQ-AMD,2.05,843,1388,20585,991,2,33,2196,03/16/2024,14:24,Monsoon,2.23,1.56,55,109,33.1,28.65,Dust_Storm,Severe,0
F20238569261,Air India,Boeing 737,2,En_Route,BBI,DEL,BBI-DEL,2.18,1005,11237,24201,7384,9,94,8862,12/06/2021,06:56,Winter,0.68,8.6,4,179,47.1,30.51,Clear,Moderate,0
F20221743717,Star Air,Dornier Do 228,6,En_Route,BLR,MAA,BLR-MAA,4.81,913,8106,18133,3636,4,117,8706,02/14/2026,17:11,Summer,6.87,1.79,64,230,26.3,38.6,Cloudy,None,0
F20211624088,Star Air,Airbus A321,6,Landing,ATQ,MAA,ATQ-MAA,2.25,725,16429,23235,6618,10,178,4082,06/20/2024,02:33,Summer,4.35,7.42,13,106,40.6,38.19,Thunderstorm,None,0
F20236053834,SpiceJet,Airbus A321,25,Landing,MAA,PNQ,MAA-PNQ,1.8,1123,11700,13065,12902,4,89,3598,03/31/2023,10:41,Winter,4.13,4.45,76,102,28.1,0.9,Cloudy,None,0
F20228090858,Vistara,Airbus A320,9,En_Route,PNQ,BBI,PNQ-BBI,2.9,836,2607,5252,1270,13,306,7666,02/19/2020,12:14,Monsoon,6.77,3.2,15,102,5.4,1.67,Thunderstorm,None,1
F20228478718,Air India,Boeing 787,13,Landing,HYD,AMD,HYD-AMD,0.69,310,4662,1779,8304,10,144,4453,07/11/2025,01:35,Winter,1.72,5.12,21,237,15.1,36.43,Rain,Moderate,0
F20269648948,Alliance Air,Boeing 787,11,Parked,PNQ,HYD,PNQ-HYD,4.02,291,3868,24417,13723,3,117,4247,06/09/2023,05:35,Winter,9.59,7.03,12,99,20.7,22.16,Clear,Severe,0
F20216224142,FlyBig,Airbus A320,2,Taxi,BOM,BLR,BOM-BLR,1.59,1074,16645,4335,9460,13,103,1163,12/23/2020,09:37,Winter,0.87,7.0,57,183,23.0,13.6,Thunderstorm,Moderate,0
F20259218147,Alliance Air,Airbus A320,1,En_Route,HYD,BOM,HYD-BOM,3.81,249,17786,23101,3877,4,288,9555,04/19/2022,11:55,Monsoon,2.67,7.07,47,321,30.5,15.39,Rain,Moderate,1
F20253337476,FlyBig,Boeing 737,3,Parked,CCU,IXB,CCU-IXB,1.8,1083,18557,3439,1299,6,280,5326,04/06/2026,00:37,Summer,7.55,3.81,34,298,26.2,32.05,Clear,Light,1
F20228900547,Star Air,Boeing 787,2,En_Route,PNQ,HYD,PNQ-HYD,1.1,182,4316,18331,9712,12,44,4969,03/22/2021,13:37,Summer,0.41,3.28,11,193,39.5,13.09,Clear,None,0
F20257359619,IndiGo,Boeing 737,9,Parked,HYD,IXB,HYD-IXB,2.8,1304,4727,24655,3385,13,319,6813,06/13/2024,03:59,Winter,0.16,9.74,32,322,16.8,13.71,Thunderstorm,None,1
F20236675676,Akasa Air,ATR 72,17,Landing,PNQ,BBI,PNQ-BBI,3.9,1342,10893,19165,8876,7,44,6159,03/16/2021,05:27,Summer,1.21,3.36,78,352,7.0,1.9,Cloudy,Light,0
F20245464095,IndiGo,ATR 72,20,Takeoff,GAU,BLR,GAU-BLR,0.77,829,12127,21663,13074,8,151,8008,05/05/2023,05:51,Winter,5.23,3.19,56,345,20.6,45.3,Rain,Severe,0
F20246204748,Akasa Air,Dornier Do 228,2,Takeoff,HYD,DEL,HYD-DEL,0.89,1453,18979,21694,8893,10,88,472,12/10/2024,10:23,Winter,2.26,8.04,10,144,22.9,23.05,Clear,Moderate,0
F20253726891,IndiGo,Embraer E190,18,Taxi,PNQ,GAU,PNQ-GAU,3.45,1776,11507,17793,12112,4,30,3085,07/06/2022,08:05,Summer,4.82,9.27,47,355,45.5,13.76,Cloudy,Moderate,0
F20224190691,IndiGo,Embraer E190,22,Takeoff,BBI,HYD,BBI-HYD,0.59,1235,9472,13950,14273,7,256,9035,04/19/2021,10:28,Monsoon,8.63,2.4,23,59,34.8,47.31,Clear,None,1
F20242028122,Alliance Air,Boeing 787,29,Parked,GAU,BLR,GAU-BLR,4.0,1602,17291,22650,5739,11,258,7768,12/26/2022,21:41,Monsoon,1.51,4.32,3,232,9.5,42.64,Thunderstorm,Light,1
F20226878642,SpiceJet,Boeing 737,25,Taxi,ATQ,BLR,ATQ-BLR,3.74,1890,19546,5337,4624,11,39,5515,07/25/2020,19:25,Summer,5.26,6.15,5,56,12.2,10.09,Clear,Moderate,0
F20202372420,FlyBig,Airbus A321,8,Parked,CCU,GOI,CCU-GOI,2.66,642,19051,10847,9514,2,95,9532,02/19/2022,01:02,Monsoon,3.47,2.76,40,296,39.6,40.22,Cloudy,Severe,0
F20204705046,Akasa Air,Boeing 787,22,Takeoff,ATQ,BLR,ATQ-BLR,2.69,748,2711,14772,8412,2,44,3509,01/19/2023,16:57,Summer,0.24,0.66,37,343,12.2,33.22,Cloudy,Light,0
F20229743859,Air India,Boeing 737,4,Takeoff,ATQ,PNQ,ATQ-PNQ,4.63,1059,13114,18754,1166,7,321,7428,04/08/2020,21:57,Monsoon,1.46,3.52,75,39,30.8,47.54,Rain,Severe,1
F20251633873,Vistara,Airbus A320,11,Landing,ATQ,GOI,ATQ-GOI,3.24,834,13586,18703,3274,4,87,3080,12/25/2021,17:24,Summer,6.51,1.07,52,217,9.4,18.03,Rain,None,0
F20263966837,Vistara,Dornier Do 228,25,Taxi,BLR,BOM,BLR-BOM,0.84,922,14146,13760,5326,4,206,5095,03/17/2021,15:21,Summer,1.52,7.83,18,162,19.6,4.54,Dust_Storm,Light,0
F20264875220,FlyBig,Airbus A320,4,Parked,HYD,DEL,HYD-HYD,4.25,1188,17030,15044,14346,6,60,9419,10/28/2022,07:01,Summer,5.8,5.56,0,91,7.6,13.13,Rain,Moderate,0
F20232244508,SpiceJet,Airbus A320,16,Parked,AMD,PNQ,AMD-PNQ,4.1,617,9854,13096,11817,10,246,859,08/27/2024,13:03,Monsoon,9.04,1.25,55,232,25.3,16.23,Dust_Storm,Severe,1
F20266017773,SpiceJet,Airbus A321,2,En_Route,ATQ,BBI,ATQ-BBI,2.93,1649,6768,23987,6336,3,243,2317,12/15/2023,08:51,Summer,8.45,2.56,53,81,9.4,48.5,Thunderstorm,Light,1
F20214994325,SpiceJet,Boeing 737,5,Takeoff,HYD,BOM,HYD-BOM,2.88,1805,13972,8513,12429,4,44,7901,10/14/2020,18:01,Summer,8.42,3.22,52,218,16.2,30.61,Cloudy,None,0
F20237320945,IndiGo,ATR 72,14,Landing,AMD,BOM,AMD-BOM,4.51,933,9381,13757,14791,5,253,8122,02/26/2021,05:04,Winter,1.98,2.86,19,308,28.8,12.15,Thunderstorm,Moderate,1
F20216615692,FlyBig,Boeing 787,20,Takeoff,DEL,PNQ,DEL-PNQ,1.24,1507,1742,22262,9753,3,220,6361,10/07/2021,00:00,Winter,1.89,9.28,31,247,5.5,7.63,Dust_Storm,Severe,0
F20248989085,Akasa Air,Embraer E190,27,En_Route,BBI,PNQ,BBI-PNQ,2.91,1882,13782,6996,14080,8,191,7001,01/05/2024,06:15,Monsoon,0.55,8.62,62,213,41.8,36.22,Rain,Moderate,0
F20251413770,IndiGo,Airbus A320,12,En_Route,BOM,ATQ,BOM-ATQ,0.66,790,5076,19959,11439,10,157,7153,08/11/2022,02:08,Monsoon,4.62,9.38,25,107,42.6,7.54,Dust_Storm,Moderate,0
F20245372579,Air India,ATR 72,24,Takeoff,DEL,MAA,DEL-MAA,4.0,1657,2081,22086,14957,4,43,1403,03/25/2024,19:23,Winter,3.98,9.83,66,340,26.2,14.68,Cloudy,None,0
F20203324185,Air India,Airbus A321,21,En_Route,IXB,DEL,IXB-IXB,3.86,739,6385,21555,741,3,136,4373,04/20/2022,08:11,Monsoon,8.42,8.11,41,66,6.0,45.54,Rain,None,0
F20268458156,Vistara,Dornier Do 228,24,En_Route,GAU,CCU,GAU-CCU,0.97,395,14028,2449,6057,12,49,6500,11/06/2020,01:49,Monsoon,5.4,0.14,42,328,37.9,28.72,Thunderstorm,Light,0
F20201514662,Air India,ATR 72,6,Taxi,IXB,DEL,IXB-IXB,4.66,1751,14590,13766,2151,2,99,1219,05/04/2021,18:29,Summer,3.79,8.97,30,318,35.1,38.83,Thunderstorm,Moderate,0
F20267460236,Alliance Air,Airbus A321,9,Taxi,DEL,BOM,DEL-BOM,2.3,343,10413,12350,11258,5,242,8758,08/31/2021,01:37,Winter,2.94,3.36,26,184,24.1,10.43,Thunderstorm,Severe,1
F20253346768,IndiGo,Dornier Do 228,6,Landing,CCU,PNQ,CCU-PNQ,3.7,945,9833,16478,12089,6,21,4960,11/26/2024,07:05,Summer,3.65,3.74,49,251,10.2,36.9,Thunderstorm,None,0
F20207650864,FlyBig,Boeing 787,13,Landing,IXB,HYD,IXB-HYD,1.24,1710,8837,17596,2373,8,53,4539,03/02/2024,08:49,Monsoon,1.27,3.06,46,74,35.1,48.83,Thunderstorm,None,0
F20233808176,Akasa Air,Airbus A320,1,Landing,DEL,IXB,DEL-IXB,4.1,155,12904,5195,6233,7,105,1420,07/23/2022,05:16,Summer,3.66,0.46,54,101,8.6,10.76,Clear,Severe,0
F20228272653,Vistara,Dornier Do 228,10,Parked,BOM,MAA,BOM-MAA,3.61,1934,8282,15806,9681,12,174,8533,06/11/2024,13:38,Summer,4.15,5.25,30,27,24.5,0.02,Dust_Storm,Light,0
F20216711153,FlyBig,Boeing 737,22,Takeoff,AMD,ATQ,AMD-ATQ,4.05,1787,10235,7055,12156,4,163,8492,01/24/2020,23:28,Monsoon,8.95,2.13,10,277,21.4,35.65,Dust_Storm,Severe,0
F20259312018,FlyBig,Airbus A320,17,Parked,MAA,HYD,MAA-HYD,1.51,1991,1355,10313,14350,8,278,5768,03/21/2024,19:15,Summer,2.53,1.39,42,40,32.1,1.61,Rain,None,1
F20218123088,Akasa Air,ATR 72,28,En_Route,HYD,MAA,HYD-MAA,1.16,1238,19503,7093,5114,4,253,9655,11/18/2023,01:40,Monsoon,7.84,4.54,25,163,45.3,19.77,Thunderstorm,Moderate,1
F20265911185,IndiGo,ATR 72,1,Landing,MAA,GOI,MAA-GOI,1.75,1982,1630,7902,8148,2,103,3836,03/20/2021,06:05,Summer,7.64,2.19,70,274,47.5,29.27,Thunderstorm,Severe,0
F20202490708,Vistara,ATR 72,22,Landing,ATQ,HYD,ATQ-HYD,3.44,280,6408,24935,10180,5,177,4339,10/23/2021,11:19,Summer,0.39,9.28,42,78,43.0,40.63,Dust_Storm,None,0
F20227713568,SpiceJet,Boeing 737,28,Landing,HYD,AMD,HYD-AMD,4.66,669,14886,8145,8949,2,66,7655,02/06/2026,08:15,Winter,0.24,3.25,3,204,29.5,29.31,Thunderstorm,Severe,0
F20241872688,SpiceJet,Embraer E190,12,Parked,MAA,BBI,MAA-BBI,0.88,1574,6404,12073,8184,11,209,4271,11/25/2020,22:54,Summer,5.01,1.42,45,67,33.0,14.74,Rain,Moderate,0
F20243952270,FlyBig,Airbus A320,8,Takeoff,CCU,MAA,CCU-MAA,4.6,169,7630,3211,11224,12,246,8899,11/24/2023,08:31,Monsoon,1.2,3.19,63,12,38.5,12.89,Clear,Severe,1
F20226283585,Akasa Air,Airbus A321,19,Takeoff,BLR,CCU,BLR-CCU,4.67,648,13983,17131,8276,4,217,2679,05/10/2024,08:18,Monsoon,6.94,4.94,56,358,34.1,8.5,Dust_Storm,Severe,0
F20242841368,Air India,Boeing 787,1,Parked,HYD,BBI,HYD-BBI,2.71,363,13587,14334,6200,12,174,4997,12/06/2023,20:58,Monsoon,7.07,8.89,8,279,44.9,13.38,Rain,Severe,0
F20269769272,Star Air,Dornier Do 228,8,Taxi,CCU,BLR,CCU-BLR,2.01,626,9787,14186,3473,13,314,1308,02/17/2020,04:13,Summer,0.85,1.59,40,103,22.0,15.3,Clear,Light,1
F20225108270,IndiGo,Airbus A320,8,Takeoff,CCU,AMD,CCU-AMD,0.51,343,5558,5091,5943,9,280,4723,05/11/2024,17:20,Monsoon,6.91,3.57,54,351,18.0,42.06,Thunderstorm,Light,1
F20263090212,IndiGo,Embraer E190,21,Landing,MAA,GAU,MAA-GAU,1.34,1992,4200,13712,1722,12,100,9074,02/11/2026,06:51,Summer,2.05,1.02,19,28,34.0,46.54,Clear,Severe,0
F20219779325,Vistara,Boeing 737,16,Landing,AMD,GAU,AMD-GAU,2.41,1545,9773,10152,467,3,71,3588,03/26/2020,09:36,Summer,5.72,8.71,63,70,31.4,6.86,Thunderstorm,None,0
F20265423074,Air India,ATR 72,26,Landing,ATQ,MAA,ATQ-MAA,0.75,701,12966,12660,13670,5,286,3662,09/06/2023,20:24,Summer,1.36,4.6,48,100,46.6,37.65,Cloudy,Moderate,1
F20238092883,Vistara,Embraer E190,7,Taxi,GOI,ATQ,GOI-ATQ,0.52,1910,11074,23621,12354,3,276,3133,12/07/2021,01:52,Winter,2.68,6.5,12,286,43.5,44.03,Thunderstorm,Severe,1
F20227409197,SpiceJet,Embraer E190,13,Landing,BLR,ATQ,BLR-ATQ,0.7,1617,7846,8693,8927,12,33,7808,02/22/2022,12:52,Winter,3.82,8.05,49,219,15.1,40.18,Thunderstorm,Severe,0
F20233755938,IndiGo,Boeing 787,23,Takeoff,GAU,PNQ,GAU-PNQ,0.89,266,9139,22498,5150,11,102,3904,04/17/2025,19:01,Winter,7.74,7.7,28,219,42.2,40.92,Clear,Severe,0
F20211926006,SpiceJet,Airbus A320,11,Taxi,BBI,IXB,BBI-IXB,3.86,1816,14533,10965,14170,4,183,3288,08/10/2021,03:56,Summer,5.38,1.13,59,272,44.9,8.63,Clear,Light,0
F20205335753,Air India,Boeing 737,16,En_Route,MAA,HYD,MAA-HYD,4.66,566,16966,19853,14020,10,196,289,10/19/2022,02:56,Summer,4.27,0.8,24,300,18.1,21.51,Cloudy,Severe,0
F20236549233,IndiGo,Dornier Do 228,1,Taxi,ATQ,GOI,ATQ-GOI,0.58,1760,16229,19815,13518,7,206,9926,06/15/2023,14:43,Summer,7.63,4.81,5,90,41.4,37.61,Cloudy,Moderate,0
F20248696644,Air India,Dornier Do 228,5,Taxi,BBI,DEL,BBI-DEL,1.55,676,13092,22376,3315,8,128,6053,02/12/2026,17:55,Summer,1.05,8.3,63,14,41.5,10.84,Thunderstorm,Moderate,0
F20258937960,Akasa Air,Boeing 737,25,Landing,CCU,GOI,CCU-GOI,1.08,1204,17009,8751,9640,8,257,6729,03/28/2023,05:54,Summer,0.74,6.94,7,273,43.4,24.88,Thunderstorm,Light,1
F20204546519,FlyBig,ATR 72,18,Takeoff,PNQ,AMD,PNQ-AMD,3.02,430,15319,14420,1269,7,301,7596,03/23/2022,12:00,Winter,8.63,8.73,51,114,17.8,45.7,Dust_Storm,None,1
F20234753968,Star Air,Boeing 737,17,Parked,BBI,BOM,BBI-BOM,2.71,921,7779,15164,13213,3,26,7677,02/13/2024,16:31,Winter,6.7,2.81,38,28,21.8,47.27,Thunderstorm,Severe,0
F20222247105,IndiGo,Boeing 787,4,Landing,PNQ,AMD,PNQ-AMD,3.13,805,15515,17296,10522,7,97,7802,04/03/2020,10:23,Monsoon,7.7,6.96,6,153,6.1,5.23,Cloudy,Moderate,0
F20268371836,Vistara,ATR 72,6,Landing,BBI,CCU,BBI-CCU,0.81,682,16297,21420,13696,10,41,3506,03/23/2022,18:36,Summer,6.12,9.17,51,32,41.1,42.63,Cloudy,None,0
F20243218185,SpiceJet,Embraer E190,14,Takeoff,DEL,MAA,DEL-MAA,2.43,1547,9852,6744,539,2,149,681,01/25/2022,09:28,Winter,0.76,2.38,56,110,23.3,36.32,Cloudy,Severe,0
F20224930525,Vistara,ATR 72,13,En_Route,HYD,BOM,HYD-BOM,1.43,1692,5731,9541,11155,10,233,8317,06/12/2023,12:03,Winter,0.23,8.82,22,314,20.8,35.37,Clear,Severe,1
F20249316032,SpiceJet,Dornier Do 228,3,Parked,ATQ,MAA,ATQ-MAA,4.37,786,6286,14306,13778,5,110,2183,05/29/2025,22:35,Winter,4.47,6.32,62,151,14.3,47.28,Thunderstorm,None,0
F20269069120,FlyBig,Airbus A321,8,Takeoff,BLR,HYD,BLR-HYD,2.25,256,15554,7704,13494,8,265,6222,02/23/2024,04:46,Summer,6.43,8.88,54,195,15.3,0.26,Thunderstorm,None,1
F20213146272,Vistara,Boeing 787,17,Takeoff,BOM,GAU,BOM-GAU,3.01,1657,2440,2332,8737,8,109,9199,12/29/2020,17:13,Summer,8.45,9.34,24,354,11.0,32.75,Clear,Severe,0
F20246613351,Vistara,Embraer E190,21,Parked,BOM,AMD,BOM-AMD,1.46,1642,11140,18096,4011,11,332,3968,03/27/2026,05:40,Monsoon,7.9,6.33,48,46,12.5,46.05,Clear,None,1
F20262049699,Air India,Dornier Do 228,16,En_Route,GOI,BOM,GOI-BOM,1.17,1229,16146,1837,14968,6,202,4767,02/26/2023,00:20,Monsoon,8.96,8.47,76,93,10.1,17.25,Clear,None,0
F20247862021,SpiceJet,Dornier Do 228,28,Parked,BLR,HYD,BLR-HYD,2.61,406,1799,18895,4656,12,335,9061,03/08/2024,17:07,Winter,6.84,3.17,16,117,32.3,15.17,Rain,Light,1
F20202786651,Akasa Air,Dornier Do 228,20,Taxi,GAU,AMD,GAU-AMD,4.5,410,14201,7329,14304,7,259,4027,02/27/2025,16:09,Summer,0.89,2.75,42,261,29.1,2.66,Clear,Light,1
F20225931419,SpiceJet,Dornier Do 228,8,Landing,GAU,BLR,GAU-BLR,4.82,782,8209,13901,7646,6,301,2119,07/07/2020,04:21,Summer,4.31,6.9,65,345,14.7,30.51,Clear,None,1
F20244267082,IndiGo,Embraer E190,16,Taxi,GAU,IXB,GAU-IXB,4.43,786,13702,21723,7583,3,222,5700,05/23/2021,08:12,Winter,5.85,1.05,55,345,25.8,3.97,Clear,Moderate,1
F20263990494,Star Air,Airbus A321,6,Takeoff,DEL,BOM,DEL-BOM,2.42,1258,7824,1441,7097,9,349,4096,12/04/2022,07:59,Monsoon,4.06,9.35,28,279,6.9,23.1,Thunderstorm,Moderate,1
